字段名称,业务含义,数据口径,必填,示例值,适用模块
营业执照文件,供应商主体合法经营证明,营业执照扫描件或链接,是,营业执照2026.pdf,智能寻源;RFX策略
法人,供应商法定代表人信息,姓名与身份证明信息,否,张三,智能寻源;RFX策略
成立日期,供应商成立日期,YYYY-MM-DD,否,2018-06-01,智能寻源;RFX策略
注册资本,供应商注册资本规模,人民币金额或区间,否,1000万元,智能寻源;RFX策略
纳税资质,供应商税务开票资质,一般纳税人或小规模纳税人,是,一般纳税人,智能寻源;RFX策略
开票资料,开票抬头与税号等信息,抬头 税号 开户行 账号,是,XX科技有限公司 9131... 招商银行... ,智能寻源;RFX策略
资质证书,与采购品类相关的资质证书,证书名称 编号 有效期,条件必填,ISO9001 CNAS,智能寻源;RFX策略
历史案例,供应商同类履约案例,项目名称 金额 时间 客户,是,某集团办公设备采购 320万 2025,智能寻源;智能检索;RFX策略
风险与诉讼,供应商风险事件披露,近12个月行政处罚 诉讼 失信信息,是,无重大风险事件,智能检索;智能寻源;RFX策略
对接人,供应商项目执行对接人,姓名 职位 电话 邮箱,是,李四 项目经理 13800000000,智能寻源
服务区域,供应商可服务地区范围,全国或指定省市,否,华东 华南,智能寻源
售后质保,供应商售后响应与质保条件,响应时效 质保期限 处理SLA,是,4小时响应 3年质保,智能寻源;RFX策略
搜索关键词,用于检索供应商或信息的关键词,自由文本,是,深圳电子元器件供应商,智能检索;智能寻源
搜索范围,检索的数据范围,站内/站外/全部,是,站内+站外,智能检索
结果标题,检索结果的标题,文本,是,深圳市xx电子有限公司,智能检索
信息来源,结果来源渠道,站内平台/网站名称,是,企业黄页,智能检索
结果摘要,结果核心内容摘要,200字以内,是,该公司主营电子元器件批发,智能检索
来源链接,原始信息链接,URL,否,https://example.com/vendor,智能检索
发布时间,信息发布日期,YYYY-MM-DD,否,2024-12-15,智能检索
可信度,信息可信程度,高/中/低,是,高,智能检索
公司名称,供应商公司全称,文本,是,深圳市xx电子有限公司,智能寻源
成立年份,供应商成立年份,YYYY,否,2010,智能寻源
经营范围,营业执照经营范围,文本,否,电子元器件批发 零售,智能寻源
主营品类,供应商主营类别,一级/二级品类,是,电子元器件/集成电路,智能寻源
所在地,供应商所在地,省/市,是,广东省深圳市,智能寻源
详细地址,供应商详细地址,文本,否,南山区xxx路xx号,智能寻源
联系电话,供应商联系电话,手机号或固话,否,0755-12345678,智能寻源
联系邮箱,供应商联系邮箱,邮箱格式,否,contact@example.com,智能寻源
综合评分,供应商综合评分,0-5分,否,4.5,智能寻源
历史订单数,历史合作订单数量,整数,否,15,智能寻源
数据来源,供应商信息来源,站内/站外,是,站内,智能检索;智能寻源
PR编号,采购需求编号,系统编码,是,PR-2025-001,需求梳理;需求分析;RFX策略
